name	line	PID	field	robust	moswt	type	bmaj	bmin	vis	spw	thresh	velwid	viswid	TP	origMS	origspw	TODO	
GMC225	C18O21	2016.1.00203	LMC_GMC225	1.5	T	12p7	1.3	1	['lmc/GMC225/uid___A002_Xb93c37_X35f5_targets_line.ms','lmc/GMC225/uid___A002_Xbf4033_X27d_targets_line.ms']	["20","29"]	0.02	0.2	0.16	"2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/TP_X8b1/member.uid___A001_X87c_X8b1.LMC_GMC225.spw21.I.sd.im.hann.canon"				
GMC225	H30a	2016.1.00203	LMC_GMC225	1.5	T	12p7	1.3	1	['lmc/GMC225/uid___A002_Xb93c37_X35f5_targets_line.ms','lmc/GMC225/uid___A002_Xbf4033_X27d_targets_line.ms']	["18","27"]	0.02	2.6	2.5	"2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/TP_X8b1/member.uid___A001_X87c_X8b1.LMC_GMC225.spw19.I.sd.im.hann.canon"				
GMC225	cont1mm	2013.1.01091,2016.1.00203	LMC_GMC225	1.5	T	12p7	1.3	1	["2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/TM_X8ab/uid___A002_Xbf4033_X27d_targets.ms/","2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/7M_X8ad/uid___A002_Xb93c37_X35f5_targets.ms/","2013.1.01091.kawamura/B6_uid___A001_X146_X68_GMC225_CO21/TM_X69/uid___A002_X9fa4e2_X6759_targets.ms/","2013.1.01091.kawamura/B6_uid___A001_X146_X68_GMC225_CO21/7M_X6b/uid___A002_X96e770_X800_targets.ms/"]	["27:230.8GHz~231.2GHz;231.4GHz~231.6GHz;231.8GHz~232.8GHz,33:216GHz~216.8GHz;217GHz~217.9GHz","18:230.8GHz~231.2GHz;231.4GHz~231.6GHz;231.8GHz~232.8GHz,24:216GHz~216.8GHz;217GHz~217.9GHz","19:230.8GHz~231.2GHz;231.4GHz~231.6GHz;231.8GHz~232.8GHz","18:230.8GHz~231.2GHz;231.4GHz~231.6GHz;231.8GHz~232.8GHz"]	0.001	0.2	0.16	x				
																		
N166	13CO10	2012.1.00603	N166	0.7	F	12p7	3.4	2.9	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_B3.concat.ms"	"16,41,57,73,89"	0.025	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_TP_13CO10.canon"			stop cubes at v=240	
N166	C18O10	2012.1.00603	N166	0.5	F	12p7	3.2	2.8	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_B3.concat.ms"	"18,43,59,75,91"	0.025	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/TP_Xd0/uid___A001_X148_Xd0.N166_sci.spw19.cube.I.sd.hann.canon/"			? decorrelated, probably scrap - RI: is this true? spwphaseup plot looks ok to me	
N166	CS21	2012.1.00603	N166	0.7	F	12p7	3.8	3.2	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_B3.concat.ms"	"20,45,61,77,93"	0.025	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_TP_CS21.canon"				
N166	SO3221	2012.1.00603	N166	0.5	F	12p7	3.6	3	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_B3.concat.ms"	"22,47,63,79,95"	0.015	1.6	1.47	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/TP_Xd0/uid___A001_X148_Xd0.N166_sci.spw23.cube.I.sd.canon/"				
N166	H40a	2012.1.00603	N166	0.5	F	12p7	3.6	3.1	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/image/N166_B3.concat.ms"	"22,47,63,79,95"	0.025	1.6	1.47	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/TP_Xd0/uid___A001_X148_Xd0.N166_sci.spw23.cube.I.sd.canon/"				
N166	cont3mm	2012.1.00603	N166	0.5	F	12p7	3.5	2.9	['2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/TM_Xd2/uid___A002_X75d7ca_X1400_targets.ms/','2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/7M_Xd4/N166_B3_7M.uid___A002_X75d7ca_Xe79_target.ms/','2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/7M_Xd4/N166_B3_7M.uid___A002_X7776f1_Xa98_target.ms/','2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/7M_Xd4/N166_B3_7M.uid___A002_X7776f1_Xdf3_target.ms/','2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xd1_N166_13CO10/7M_Xd4/N166_B3_7M.uid___A002_X96e770_X48e_target.ms/']	["23:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz"]	0.025	1.6	1.47	x				
