SOURCE              PID                 FIELD                         ARR    OBS MSKEY                                                                                                                   
N69                 2015.1.00196.S      SMC0N69                        7m       4 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb48b38_X2df3_targets_line.ms/                     
N42                 2015.1.00196.S      SMC1N42                        12m      1 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbe0d4d_X2590_targets_line.ms/                    
N42                 2015.1.00196.S      SMC1N42                        12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbeb207_X2324_targets_line.ms/                    
N42                 2015.1.00196.S      SMC1N42                        7m       3 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb36550_X5718_targets_line.ms/                     
N42                 2015.1.00196.S      SMC1N42                        7m       4 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb48b38_X2df3_targets_line.ms/                     
N66                 2015.1.00196.S      SMC2N66                        12m      1 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbe0d4d_X2590_targets_line.ms/                    
N66                 2015.1.00196.S      SMC2N66                        12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbeb207_X2324_targets_line.ms/                    
N66                 2015.1.00196.S      SMC2N66                        7m       3 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb36550_X5718_targets_line.ms/                     
N66                 2015.1.00196.S      SMC2N66                        7m       4 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb48b38_X2df3_targets_line.ms/                     
N66                 2015.1.00196.S      all                            12m      5 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/TM_Xcdc/uid___A002_Xcf749a_X29c3_targets_line.ms/                      
N66                 2015.1.00196.S      all                            7m       6 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/7M_Xcde/uid___A002_Xb499c3_X2cba_targets_line.ms/                      
N66                 2015.1.00196.S      all                            7m       7 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/7M_Xcde/uid___A002_Xb499c3_X31ea_targets_line.ms/                      
N66                 2015.1.00196.S      all                            7m       8 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/7M_Xcde/uid___A002_Xbabd27_X454_targets_line.ms/                       
N66                 2015.1.00196.S      all                            7m       9 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/7M_Xcde/uid___A002_Xbad2b0_X188d_targets_line.ms/                      
N66                 2015.1.00196.S      all                            7m      10 2015.1.01296.muller/B6_uid___A001_X2fb_Xcda_CO21/7M_Xcde/uid___A002_Xbeaa79_X248_targets_line.ms/                       
